Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Market Cap at Offer (M),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Fed Rate,CPI,Consumer Confidence,Unemployment Rate,Trade Month,Trade Day,Trade Year,Underpriced
SYNP US,Synplicity Inc,,,11.3,34.4,23.4946,8.0,187.96,87160Y108,,34.4,23.4946,,,12-Oct,Priced Below Range,Technology,Software,Applications Software,6.6,0.1727115716753108,105.8,3.9,10,12,2000,1
SYRS US,Syros Pharmaceuticals Inc,55.6,-368.5,-60.8,57.5,23.36,12.5,292.0,87184Q206,-15.9,57.5,23.36,45.1144,9124810.0,14 - 16,Priced Below Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.37,0.3284366167281879,93.5,4.9,6,30,2016,1
TACA/U US,Trepont Acquisition Corp I,,,4.0,230.0,23.0,10.0,230.0,N.A.,0.0403934,230.0,23.0,5.38899,1239470.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.0941478467042596,80.7,6.7,12,2,2020,1
TACAU US,TAC Acquisition Corp,,,,132.0,25.0,6.0,150.0,873392203,,132.0,25.0,,,6-Jun,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,3.02,0.0514403292181003,96.0,5.0,6,29,2005,1
TACOU US,Del Taco Restaurants Inc,7.2,1.0,0.7,150.0,15.0,10.0,150.0,52748T203,1.2,150.0,15.0,,,10-Oct,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Restaurants,0.08,-0.204242419052338,75.1,6.9,11,14,2013,1
TAM US,Taminco Corp,7.5,-0.5,2.3,254.402,66.399,15.0,995.99,87509U106,2.0,254.402,66.399,,,18 - 20,Priced Below Range,Basic Materials,Chemicals,Chemicals-Other,0.16,-0.103963947708716,76.4,7.6,4,18,2013,0
TAQ/U US,Transforma Acquisition Group I,,,0.9,100.0,0.0,8.0,0.0,8.94E+213,0.3,100.0,0.0,,,8-Aug,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,5.27,0.148883374689833,91.7,4.4,12,20,2006,0
TARA US,Protara Therapeutics Inc,,,-22.6,70.265,15.9104,10.0,149.939,74365U107,-3.0,70.265,15.9104,54.8503,6180190.0,14-Dec,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,-0.2512277812553889,86.9,5.7,10,22,2014,1
TARG US,Targanta Therapeutics Corp,,,-115.4,57.5,20.9692,10.0,209.69,87612C100,-7.8,57.5,20.9692,0.00952908,2000.0,14-Dec,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,4.92,0.2139191328121169,80.9,4.7,10,10,2007,0
TARS US,Tarsus Pharmaceuticals Inc,,-24.2,-29.6,101.2,20.084,16.0,321.344,87650L103,0.1,101.2,20.084,82.8038,22085600.0,15 - 17,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,0.0414937759336148,81.8,6.9,10,16,2020,1
TAST US,Carrols Restaurant Group Inc,6.7,-2.6,-4.3,143.0,21.6255,13.0,281.13,14574X104,1.4,143.0,21.6255,29.836,15894600.0,14 - 16,Priced Below Range,"Consumer, Cyclical",Retail,Retail-Restaurants,5.27,0.148883374689833,91.7,4.4,12,15,2006,1
TAYC US,Taylor Capital Group Inc,4.2,18.7,0.8,51.3563,9.09178,16.5,150.01,876851106,23.4,51.3563,9.09178,,,18 - 20,Priced Below Range,Financial,Banks,Commer Banks-Central US,1.85,0.165745856353599,80.6,5.7,10,15,2002,1
TBHS US,Bank Holdings/The,-13.8,-302.6,,17.0775,0.0,11.0,0.0,8.83E+108,-0.4,17.0775,0.0,,,11-Nov,Priced Within Range,Financial,Banks,Commer Banks-Western US,1.04,0.644468313641263,95.8,5.8,3,17,2004,1
TBIO US,Translate Bio Inc,1678.7,-38.7,5.9,126.287,45.1421,13.0,586.847,89374L104,3.5,126.287,45.1421,6.61551,5000450.0,14-Dec,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.7,0.1593875701543719,98.2,4.0,6,28,2018,0
TBK US,Triumph Bancorp Inc,15.5,26.6,1.9,92.46,17.5918,12.0,211.102,8.97E+304,5.5,92.46,17.5918,91.9719,22513100.0,14 - 16,Priced Below Range,Financial,Banks,Commer Banks-Central US,0.07,-0.5399417941061189,88.8,5.8,11,7,2014,1
TBLTU US,Toughbuilt Industries Inc,77.5,-53.5,-67.3,13.35,9.4208,5.0,47.104,89157G306,-0.6,13.35,9.4208,,,4.50 - 5.50,Priced Within Range,Industrial,Hand/Machine Tools,Tools-Hand Held,2.2,-0.3349348518100969,97.5,3.8,11,9,2018,0
TBNK US,Territorial Bancorp Inc,-12.7,28.8,0.7,122.331,0.0,10.0,0.0,88145X108,1.3,122.331,0.0,47.2662,4307680.0,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Western US,0.2,-0.158558692215323,66.0,9.5,7,13,2009,1
TBRA US,Tobira Therapeutics Inc,,,-88.3,46.686,21.303,4.0,85.21,88883P101,-2.5,46.686,21.303,0.219677,41346.0,5-May,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.08,0.12029315570472,82.1,7.2,8,22,2013,1
TBRGU US,Repay Holdings Corp,41.4,-22.8,-0.5,258.0,25.8,10.0,258.0,N.A.,0.6,258.0,25.8,0.0628295,16210.0,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,1.7,0.1593875701543719,98.2,4.0,6,19,2018,1
TCBI US,Texas Capital Bancshares Inc,-18.3,28.0,0.5,75.9,24.4264,11.0,268.69,88224Q107,13.0,75.9,24.4264,112.82,56296200.0,12-Oct,Priced Within Range,Financial,Banks,Commer Banks-Central US,1.0,0.380641653072316,89.3,6.1,8,13,2003,1
TCDA US,Tricida Inc,,,-95.6,255.645,41.9444,19.0,796.944,89610F101,-2.7,255.645,41.9444,100.277,58188700.0,16 - 18,Priced Above Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,1.7,0.1593875701543719,98.2,4.0,6,28,2018,1
TCMD US,Tactile Systems Technology Inc,11.1,-5.6,-12.0,41.2,16.769,10.0,167.69,87357P100,0.1,41.2,16.769,103.871,20934900.0,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,0.41,-0.161813640474981,90.0,4.8,7,28,2016,1
TCON US,Tracon Pharmaceuticals Inc,,-8285.2,-142.9,36.0,12.0928,10.0,120.928,89237H209,-1.3,36.0,12.0928,50.331,11179200.0,14-Dec,Priced Below Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Generic Drugs,0.06,-0.4705892373473239,98.1,5.7,1,30,2015,0
TCPC US,BlackRock TCP Capital Corp,-4.0,81.0,3.9,84.8125,21.4756,14.75,316.77,9.26E+111,-1.4,84.8125,21.4756,32.9403,19028700.0,14.75 - 14.75,Priced Within Range,Financial,Investment Companies,Investment Companies,0.09,0.3021029504080339,76.4,8.2,4,4,2012,0
TCRR US,TCR2 Therapeutics Inc,,,-38.4,86.25,23.9399,15.0,359.099,87808K106,-2.1,86.25,23.9399,75.5416,29202100.0,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,2.4,0.422705314009692,93.8,3.8,2,14,2019,1
TCS US,Container Store Group Inc/The,10.5,7.4,5.4,258.75,47.9229,18.0,862.61,210751103,1.1,258.75,47.9229,88.154,44631200.0,17 - 18,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Misc/Diversified,0.08,-0.204242419052338,75.1,6.9,11,1,2013,1
TCW/U US,Triplecrown Acquisition Corp,,,0.1,552.0,67.2,10.0,672.0,89677G208,0.0627375,552.0,67.2,,,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,4.92,0.2139191328121169,80.9,4.7,10,22,2007,1
TCYF US,TransCommunity Financial Corp,19.1,21.5,1.1,18.4,2.29324,8.0,18.35,893548107,0.2,18.4,2.29324,,,,,Financial,Banks,Commer Banks-Southern US,3.36,0.4627249357326559,96.5,5.0,7,19,2005,0
TDG US,TransDigm Group Inc,-5.9,14.1,4.2,264.551,45.8448,21.0,962.74,893641100,16.2,264.551,45.8448,117.854,64082600.0,20 - 22,Priced Within Range,Industrial,Aerospace/Defense,Aerospace/Defense,4.52,0.55359838953198,88.9,4.7,3,15,2006,1
TDOC US,Teladoc Health Inc,85.8,-21.0,-76.5,180.262,38.2838,19.0,703.88,87918A105,1.2,180.262,38.2838,101.005,163554000.0,15 - 17,Priced Above Range,"Consumer, Non-cyclical",Healthcare-Services,Medical-Outptnt/Home Med,0.13,0.0067047159295661,93.1,5.2,7,1,2015,1
TEA US,Teavana Holdings Inc,34.8,10.5,12.9,139.643,39.1119,17.0,664.9,87819P102,0.5,139.643,39.1119,,,13 - 15,Priced Above Range,"Consumer, Non-cyclical",Beverages,Tea,0.08,0.0886045666793554,63.7,9.0,7,28,2011,1
TEAF US,Ecofin Sustainable and Social,,,,260.0,0.0,20.0,0.0,27901F109,,260.0,0.0,27.169,3665090.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,2.4,0.564135835680577,98.4,3.8,3,27,2019,0
TEAR US,TearLab Corp,-9.3,-23.9,-38.1,100.8,41.7596,12.0,501.12,878193200,-0.0783316,100.8,41.7596,0.0393269,9600.0,12-Oct,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Equipment,2.04,-0.3664921465968529,97.1,5.4,12,8,2004,0
TEKKU US,Tekkorp Digital Acquisition Co,,,12.5,250.0,25.0,10.0,0.0,N.A.,-0.0252202,250.0,25.0,2.75994,689985.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.0414937759336148,81.8,6.9,10,22,2020,0
TELA US,Tela Bio Inc,61.7,-112.9,-64.7,52.0,11.0068,13.0,143.088,872381108,-2.1,52.0,11.0068,102.634,19663700.0,14 - 16,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.57,-0.0536243034669465,96.8,3.6,11,8,2019,1
TENB US,Tenable Holdings Inc,22.9,-8.6,-6.5,288.305,92.7145,23.0,2132.43,88025T102,0.9,288.305,92.7145,97.0136,109154000.0,20 - 22,Priced Above Range,Technology,Computers,Computer Data Security,1.91,0.006746326228517,97.9,3.8,7,26,2018,1
TEP US,Tallgrass Energy Partners LP,9.4,28.6,4.1,313.9,25.85,21.5,555.77,874697105,3.8,313.9,25.85,0.788521,577233.0,21 - 23,Priced Within Range,Energy,Pipelines,Pipelines,0.14,0.178040777358723,84.5,7.5,5,14,2013,0
TERP US,TerraForm Power Inc,22.7,-15.8,-1.9,576.87,30.7372,25.0,768.43,88104R209,1.5,576.87,30.7372,100.493,227649000.0,23 - 25,Priced Within Range,Energy,Energy-Alternate Sources,Energy-Alternate Sources,0.1,-0.0390193964161092,81.8,6.2,7,18,2014,1
TFFP US,TFF Pharmaceuticals Inc,,,-84.2,22.0,17.8254,5.0,89.127,87241J104,-1.1,22.0,17.8254,22.3923,5714080.0,5-May,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,1.88,0.2286190552229999,95.5,3.6,10,25,2019,1
TFSCU US,Limbach Holdings Inc,-13.7,1.3,2.8,46.0,0.0,10.0,0.0,68245V202,,46.0,0.0,,,10-Oct,Priced Within Range,Industrial,Engineering&Construction,Building&Construct-Misc,0.1,-0.0390193964161092,81.8,6.2,7,16,2014,1
TGE US,Tallgrass Energy LP,9.4,28.6,4.1,1384.03,47.725,29.0,1203.5,874696107,3.8,1384.03,47.725,32.1619,57773300.0,24 - 27,Priced Above Range,Energy,Pipelines,Pipelines,0.13,0.509723202549469,90.7,5.6,5,7,2015,1
TGH US,Textainer Group Holdings Ltd,28.2,33.3,4.2,148.5,47.6046,16.5,785.48,N.A.,12.3,148.5,47.6046,86.4407,38851700.0,19 - 21,Priced Below Range,"Consumer, Non-cyclical",Commercial Services,Rental Auto/Equipment,4.92,0.2139191328121169,80.9,4.7,10,10,2007,1
TGY/U US,Tremisis Energy Acquisition Co,,,-1.0,77.8614,0.0,8.0,0.0,89472N200,0.0203151,77.8614,0.0,,,8-Aug,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,4.66,-0.0670863129647814,75.5,5.0,12,7,2007,0
THBRU US,Thunder Bridge Acquisition II,,,,345.0,34.5,10.0,345.0,N.A.,,345.0,34.5,,,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,2.14,-0.0050668236082817,89.8,3.6,8,9,2019,1
THCAU US,Tuscan Holdings Corp II,,,1.4,172.5,17.25,10.0,172.5,90070A202,-0.0372147,172.5,17.25,61.3304,4511220.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,2.39,0.1670941622453379,98.4,3.7,7,12,2019,1
THCBU US,Microvast Holdings Inc,41.3,-135.8,-40.3,276.0,24.135,10.0,241.35,90069K203,-0.2,276.0,24.135,0.0142903,4032.0,10-Oct,Priced Within Range,"Consumer, Cyclical",Auto Parts&Equipment,Auto/Trk Prts&Equip-Orig,2.4,0.564135835680577,98.4,3.8,3,5,2019,1
THE US,Todco,70.7,20.1,23.9,165.6,12.0,12.0,144.0,88889T107,3.1,165.6,12.0,,,13-Nov,Priced Within Range,Energy,Oil&Gas,Oil&Gas Drilling,1.03,0.539956803455712,94.4,5.6,2,5,2004,1
THOR US,Synthorx Inc,,,-56.7,150.696,32.0172,11.0,352.189,87167A103,-5.2,150.696,32.0172,3.14707,1019800.0,12-Oct,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,2.2,-0.319396281513109,98.3,3.9,12,7,2018,1
THQ US,Tekla Healthcare Opportunities,,,,770.0,0.0,20.0,0.0,879105104,,770.0,0.0,20.1107,8317000.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.1,-0.0390193964161092,81.8,6.2,7,29,2014,0
THR US,Thermon Group Holdings Inc,28.7,5.6,5.8,127.8,29.51,12.0,354.12,88362T103,0.8,127.8,29.51,102.154,34214700.0,14-Dec,Priced Within Range,Industrial,Machinery-Diversified,Machinery-Therml Process,0.09,0.4704187527233639,74.3,9.0,5,5,2011,1
THST US,Truett-Hurst Inc,-69.9,-10.0,,16.2,2.7,6.0,16.2,897871109,,16.2,2.7,6.07971,278942.0,8-Jun,Priced Within Range,"Consumer, Non-cyclical",Beverages,Beverages-Wine/Spirits,0.09,0.2399708085599498,84.1,7.5,6,20,2013,0
THW US,Tekla World Healthcare Fund,,,,580.0,0.0,20.0,0.0,87911L108,,580.0,0.0,11.9888,4501300.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.12,0.3502869998528119,96.1,5.3,6,26,2015,0
TIBRU US,Tiberius Acquisition Corp,,,-7.5,172.5,17.25,10.0,172.5,88633A206,-0.0072408,172.5,17.25,,,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,1.42,0.2261125904149038,101.4,4.0,3,16,2018,1
TIG US,Trean Insurance Group Inc,7.7,8.8,1.7,178.821,51.1429,15.0,767.144,89457R101,1.8,178.821,51.1429,31.7034,16238700.0,13 - 15,Priced Within Range,Financial,Insurance,Insurance Brokers,0.08,0.5058243501670088,72.5,10.2,7,16,2020,1
TIL/U US,Trans-India Acquisition Corp,,,1.2,92.0,0.0,8.0,0.0,893237206,,92.0,0.0,,,8-Aug,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,5.29,0.535036755987662,91.3,4.5,2,9,2007,1
TIPT US,Tiptree Inc,48.1,3.1,-0.2,225.0,21.0124,15.0,315.19,88822Q103,6.1,225.0,21.0124,34.6172,12549600.0,15 - 17,Priced Within Range,Financial,Insurance,Property/Casualty Ins,5.23,0.1937975176605649,85.3,4.6,6,22,2007,0
TISUQ US,Orchids Paper Products Co,14.8,-20.1,-11.0,17.25,3.875,8.0,31.0,68572N104,-1.6,17.25,3.875,12.7644,1362010.0,9-Jul,Priced Within Range,Basic Materials,Forest Products&Paper,Paper&Related Products,3.36,0.4627249357326559,96.5,5.0,7,15,2005,1
TITN US,Titan Machinery Inc,21.3,3.8,9.0,58.65,12.2289,8.5,103.95,88830R101,7.1,58.65,12.2289,87.8039,19815500.0,7.50 - 9.50,Priced Within Range,"Consumer, Cyclical",Distribution/Wholesale,Distribution/Wholesale,4.66,-0.0670863129647814,75.5,5.0,12,6,2007,1
TLCR US,Talecris Biotherapeutics Holdi,4.4,10.3,10.7,1064.0,125.784,19.0,2389.9,874227101,2.0,1064.0,125.784,,,18 - 20,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.11,0.0963101185818577,70.6,10.0,10,1,2009,1
TLCT US,DirecTV Broadband Inc,4901.0,-1854.0,-110.3,132.0,0.0,12.0,0.0,87971D103,-1.6,132.0,0.0,,,12-Oct,Priced Within Range,Communications,Media,Broadcast Serv/Program,5.78,0.8244994110718371,107.1,4.0,3,29,2000,1
TLEO US,Taleo Corp,30.1,-5.6,-3.1,93.8,21.8283,14.0,305.6,87424N104,0.7,93.8,21.8283,,,14 - 16,Priced Within Range,Technology,Software,Enterprise Software/Serv,3.57,1.22199592668025,76.9,5.0,9,29,2005,0
TLMR US,Talmer Bancorp Inc,-3.9,19.9,1.1,232.556,69.9431,13.0,909.26,87482X101,2.0,232.556,69.9431,,,12.50 - 14.50,Priced Within Range,Financial,Banks,Commer Banks-Central US,0.07,0.3697908650968729,81.6,6.7,2,12,2014,1
TLND US,Talend SA,15.9,-27.6,-22.7,108.675,6.0375,18.0,108.675,874224207,-0.8,108.675,6.0375,129.149,42502400.0,15 - 17,Priced Above Range,Technology,Software,Computer Software,0.41,-0.161813640474981,90.0,4.8,7,29,2016,1
TLOG US,TetraLogic Pharmaceuticals Cor,,,-59.9,57.5575,22.2394,7.0,155.68,88165U109,-1.4,57.5575,22.2394,0.379154,93913.0,7-Jul,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.07,-0.0085811497882589,82.5,6.7,12,12,2013,0
TLP US,TransMontaigne Partners LLC,9.0,7.3,2.4,82.39,3.9725,21.4,85.01,89376V100,7.7,82.39,3.9725,,,19.40 - 21.40,Priced Within Range,Energy,Pipelines,Pipelines,2.97,-0.1027749229187949,86.9,5.1,5,25,2005,1
TLRA US,Telaria Inc,23.3,-13.2,-4.1,75.0,49.4231,10.0,494.23,879181105,0.0497553,75.0,49.4231,10.7216,5151440.0,13-Nov,Priced Below Range,Communications,Advertising,Advertising Agencies,0.09,0.2399708085599498,84.1,7.5,6,27,2013,0
TLS US,Telos Corp,34.7,-17.7,-15.8,292.641,62.0853,17.0,1055.45,87969B101,0.1,292.641,62.0853,67.4849,45357000.0,16 - 18,Priced Within Range,Technology,Computers,Computers-Integrated Sys,0.09,-0.0610627217844137,76.9,6.7,11,19,2020,1
TLYS US,Tilly's Inc,45.9,8.2,7.1,142.6,8.0,15.5,124.0,886885102,2.0,142.6,8.0,84.1695,19194500.0,11.50 - 13.50,Priced Above Range,"Consumer, Cyclical",Retail,Retail-Apparel/Shoe,0.16,-0.1173479366321049,79.3,8.2,5,4,2012,1
TMCXU US,BRMK Management Corp,,,,345.0,34.5,10.0,345.0,89653L205,,345.0,34.5,,,10-Oct,Priced Within Range,Financial,Investment Companies,Investment Companies,1.7,0.4158916925435,98.0,3.8,5,15,2018,1
TMDX US,TransMedics Group Inc,18.0,-146.1,-20.7,104.696,20.0996,16.0,321.594,89377M109,-1.0,104.696,20.0996,105.981,33833600.0,15 - 17,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,2.45,0.2128758589384109,100.0,3.6,5,2,2019,1
TMH US,Team Health Holdings Inc,27.5,2.3,0.6,183.54,64.396,12.0,772.75,87817A107,2.0,183.54,64.396,,,14 - 16,Priced Below Range,"Consumer, Non-cyclical",Healthcare-Services,Phys Practice Mgmnt,0.13,-0.176119816946313,72.5,9.9,12,16,2009,1
TMHC US,Taylor Morrison Home Corp,22.3,8.8,12.3,722.854,28.572,22.0,628.58,87724P106,2.9,722.854,28.572,103.387,112017000.0,20 - 22,Priced Within Range,"Consumer, Cyclical",Home Builders,Bldg-Residential/Commer,0.16,-0.103963947708716,76.4,7.6,4,10,2013,1
TMPMU US,Turmeric Acquisition Corp,,,1.5,97.75,10.165,10.0,101.65,N.A.,-0.0610726,97.75,10.165,3.73467,380582.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.0414937759336148,81.8,6.9,10,16,2020,1
TMS US,Tms International Holding Corp,-5.0,1.0,3.1,167.44,34.626,13.0,450.14,87261Q103,3.0,167.44,34.626,3.26085,481480.0,15 - 17,Priced Below Range,"Consumer, Non-cyclical",Commercial Services,Commercial Services,0.11,0.6439429535456989,69.8,9.1,4,14,2011,0
TMTA US,Transmeta Corp,-94.8,-2547.6,4.6,273.0,127.753,21.0,2682.81,89376R208,-4.1,273.0,127.753,,,16 - 18,Priced Above Range,Technology,Semiconductors,Electronic Compo-Semicon,6.61,0.0574712643678087,107.6,3.9,11,6,2000,1
TMTSU US,Spartacus Acquisition Corp,,,,200.0,20.0,10.0,200.0,84677L208,,200.0,20.0,,,10-Oct,Priced Within Range,Technology,Computers,Computers-Other,0.09,0.0414937759336148,81.8,6.9,10,15,2020,0
TMUS US,T-Mobile US Inc,17.1,3.7,0.7,1322.5,346.248,23.0,7963.7,872590104,14.4,1322.5,346.248,44.3545,551838000.0,19 - 21,Priced Above Range,Communications,Telecommunications,Cellular Telecom,5.3,0.649616268650889,87.1,4.5,4,18,2007,1
TMX US,Terminix Global Holdings Inc,4.2,6.1,1.4,701.845,133.13,17.0,2263.21,8.81E+104,2.0,701.845,133.13,118.483,144020000.0,18 - 21,Priced Below Range,"Consumer, Non-cyclical",Commercial Services,Building-Maint&Service,0.08,0.1862126944094109,82.5,6.1,6,26,2014,1
TNAV US,Telenav Inc,22.2,-0.3,-2.1,64.4,41.924,8.0,335.39,879455103,0.5,64.4,41.924,20.6203,9897750.0,10-Sep,Priced Below Range,"Consumer, Cyclical",Auto Parts&Equipment,Auto/Trk Prts&Equip-Orig,0.2,0.077519735423772,73.6,9.6,5,13,2010,1
TNDM US,Tandem Diabetes Care Inc,40.8,2.2,-7.1,138.0,22.578,15.0,338.67,875372203,1.7,138.0,22.578,112.349,72238900.0,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Healthcare Safety Device,0.08,-0.204242419052338,75.1,6.9,11,14,2013,1
TNET US,TriNet Group Inc,12.5,7.4,12.2,276.0,68.3252,16.0,1093.2,896288107,3.3,276.0,68.3252,99.3042,61797100.0,15 - 17,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Human Resources,0.06,0.6440044126228239,80.0,6.7,3,27,2014,1
TNGNQ US,Tengion Inc,,,-310.5,30.0,12.3535,5.0,61.77,88034G208,-4.2,30.0,12.3535,,,5-May,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.17,0.1736884910697429,72.2,9.9,4,9,2010,1
TNGX US,Tango Therapeutics Inc,,-157.2,-29.7,166.75,20.79,10.0,207.9,87583X109,-0.9,166.75,20.79,87.8433,77457900.0,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,0.13927469432666,80.4,7.8,9,3,2020,1
TNOX US,Tanox Inc,,,1.3,213.75,40.789,28.5,1162.49,87588Q109,,213.75,40.789,0.0011595,530.0,27 - 30,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,6.17,0.058411214953279,109.2,3.8,4,7,2000,0
TNS US,TNS Inc,,,2.5,79.56,26.7782,18.0,482.01,872960109,,79.56,26.7782,,,16 - 18,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,1.04,0.644468313641263,95.8,5.8,3,16,2004,0
TNSIZ US,Triton Network Systems Inc,-60.6,-968.0,,82.5,63.1619,15.0,947.43,896775103,-0.9,82.5,63.1619,,,13 - 15,Priced Within Range,Communications,Telecommunications,Wireless Equipment,6.86,0.23201856148492,108.3,4.0,7,13,2000,1
TNTRQ US,Tintri Inc,0.6,-125.2,-174.0,67.004,31.3881,7.0,219.717,88770Q105,-4.6,67.004,31.3881,0.0961617,32300.0,8-Jul,Priced Within Range,Technology,Software,Computer Software,0.91,0.0907111014861139,95.0,4.3,6,30,2017,1
TOH/U US,Resolute Energy Corp,21.6,-0.4,-3.8,552.0,67.2,10.0,672.0,429086408,,552.0,67.2,,,10-Oct,Priced Within Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,4.96,0.2755907405358929,83.4,4.7,9,28,2007,0
TOMO US,TomoTherapy Inc,19.1,-15.3,-12.1,256.594,48.7483,19.0,926.22,890088107,-0.0344582,256.594,48.7483,,,15 - 17,Priced Above Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Imaging Systems,5.26,0.61107186747047,88.3,4.4,5,9,2007,1
TONEQ US,TierOne Corp,-18.8,-62.5,-0.8,191.305,0.0,0.0,0.0,88650R108,4.0,191.305,0.0,0.431646,77845.0,10-Oct,,Financial,Banks,Commer Banks-Southern US,1.85,0.165745856353599,80.6,5.7,10,2,2002,0
TORCQ US,Torch Offshore Inc,-3.5,-14.0,-11.7,80.0,13.3333,16.0,213.33,891019101,0.8,80.0,13.3333,0.0197739,2500.0,14 - 16,Priced Within Range,Energy,Oil&Gas Services,Oil-Field Services,4.14,0.16882386043895,92.6,4.5,6,7,2001,1
TOWR US,Tower International Inc,-20.9,3.1,0.8,86.2384,19.102,13.0,248.326,891826109,8.3,86.2384,19.102,0.858753,177680.0,15 - 17,Priced Below Range,"Consumer, Cyclical",Auto Parts&Equipment,Auto/Trk Prts&Equip-Orig,0.2,0.1245198888476958,67.7,9.4,10,15,2010,0
TPB US,Turning Point Brands Inc,9.9,11.6,6.4,54.0,15.956,10.0,159.56,90041L105,3.6,54.0,15.956,99.2885,17439000.0,13 - 15,Priced Below Range,"Consumer, Non-cyclical",Agriculture,Tobacco,0.3,0.404579099811517,94.7,4.8,5,11,2016,1
TPGE/U US,Magnolia Oil & Gas Corp,101.7,38.7,41.8,650.0,65.0,10.0,650.0,872656202,4.5,650.0,65.0,0.142615,92700.0,,,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,0.91,0.0854721826896363,97.1,4.4,5,5,2017,1
TPGH/U US,Accel Entertainment Inc,132.2,4.3,7.8,450.0,45.0,10.0,450.0,N.A.,1.1,450.0,45.0,6.35933,3370620.0,10-Oct,Priced Within Range,"Consumer, Cyclical",Entertainment,Casino Services,0.91,0.0907111014861139,95.0,4.3,6,28,2017,1
TPGI US,Thomas Properties Group Inc,-4.6,-28.0,5.9,171.428,31.0091,12.0,372.11,884453101,-0.1,171.428,31.0091,,,13 - 15,Priced Below Range,Financial,Real Estate,Real Estate Oper/Develop,1.86,0.5265929436545569,91.7,5.5,10,7,2004,1
TPGY/U US,TPG Pace Beneficial Finance Co,,101.9,24.0,350.0,35.0,10.0,350.0,N.A.,-0.1,350.0,35.0,0.0171457,6001.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.0414937759336148,81.8,6.9,10,7,2020,1
