Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Market Cap at Offer (M),Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Industry Sector,Industry Group,Industry Subgroup,Fed Rate,CPI,Consumer Confidence,Unemployment Rate,Trade Month,Trade Day,Trade Year,Underpriced?
-81.8,-1284.5,-36.9,165.6,35.5513,16.0,547.221,-2.1,165.6,35.5513,93.6325,45654600.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.05,0.5472046927775109,78.1,11.0,6,3,2020,1
,-4489.4,-101.0,23.0,13.3155,4.0,53.262,-1.9,23.0,13.3155,6.57487,2447710.0,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,0.3,0.404579099811517,94.7,4.8,5,18,2016,1
,,9.5,170.085,17.5668,17.0,298.64,,170.085,17.5668,,,Basic Materials,Iron/Steel,Steel-Producers,5.27,0.148883374689833,91.7,4.4,12,19,2006,1
17.7,-11.4,-5.0,42.5,29.236,8.5,248.51,-0.0575236,42.5,29.236,,,Communications,Internet,Internet Infrastr Sftwr,1.79,0.055617352614023,92.4,5.8,6,4,2002,0
26873.3,-561.9,-62.7,37.944,8.5374,12.0,102.45,-11.4,37.944,8.5374,36.4259,10613700.0,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.06,0.6440044126228239,80.0,6.7,3,13,2014,1
28.0,-10.6,-1.3,58.14,3.7867,19.0,71.9473,1.8,58.14,3.7867,94.5448,40512000.0,Financial,REITS,REITS-Warehouse/Industr,0.91,0.0907111014861139,95.0,4.3,6,9,2017,0
14.1,33.6,1.0,15.0,2.6982,12.5,33.7275,3.0,15.0,2.6982,16.8529,533307.0,Financial,Banks,Commer Banks-Southern US,0.08,0.1862126944094109,82.5,6.1,6,27,2014,0
,,-1.5,54.0,0.0,10.0,0.0,,54.0,0.0,,,Financial,Insurance,Property/Casualty Ins,0.11,0.0963101185818577,70.6,10.0,10,19,2009,1
15.1,-470.4,-120.7,48.7025,17.1069,11.0,188.18,-1.6,48.7025,17.1069,,,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,4.92,0.2139191328121169,80.9,4.7,10,26,2007,1
,,,862.516,0.0,15.0,0.0,,862.516,0.0,9.15507,5892410.0,Financial,Closed-end Funds,Closed-end Funds,1.79,0.055617352614023,92.4,5.8,6,26,2002,1
-2.0,7.8,-0.6,320.0,16.7353,20.0,334.71,-28.9,320.0,16.7353,78.5326,69837900.0,Financial,REITS,REITS-Mortgage,0.2,-0.158558692215323,66.0,9.5,7,30,2009,0
32.0,-3.2,2.9,92.4,37.4293,11.0,411.72,-0.1,92.4,37.4293,,,Industrial,Electronics,Electronic Compo-Misc,6.51,0.0,107.3,4.1,8,8,2000,1
20.1,4.2,8.8,172.5,56.4761,10.0,564.761,1.8,172.5,56.4761,12.3696,1408360.0,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,0.13,-0.0449683750446447,90.0,5.0,10,9,2015,1
,,2.8,175.0,17.5,10.0,175.0,-0.0225249,175.0,17.5,0.588983,103072.0,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.13927469432666,80.4,7.8,9,22,2020,0
,,-21.0,243.536,44.7641,18.0,805.754,-1.0,243.536,44.7641,137.555,62815200.0,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.09,0.13927469432666,80.4,7.8,9,25,2020,1
,,,432.75,0.0,15.0,0.0,,432.75,0.0,16.1413,5384500.0,Financial,Closed-end Funds,Closed-end Funds,1.85,0.165745856353599,80.6,5.7,10,29,2002,1
,,-2.1,271.6,21.8921,14.0,306.49,,271.6,21.8921,0.0495734,9400.0,"Consumer, Cyclical",Airlines,Airlines,1.03,-0.2702702702702639,93.7,5.8,11,25,2003,0
6.5,39.7,1.4,18.75,1.875,10.0,18.75,8.7,18.75,1.875,94.6003,72326500.0,Financial,Banks,Commer Banks-Southern US,6.51,0.0,107.3,4.1,8,17,2000,0
13.0,18.9,3.7,289.777,31.5845,21.5,679.07,1.4,289.777,31.5845,,,Energy,Oil&Gas Services,Oil-Field Services,0.17,0.1736884910697429,72.2,9.9,4,30,2010,1
,,,154.422,0.0,15.0,0.0,,154.422,0.0,21.4648,2406020.0,Financial,Closed-end Funds,Closed-end Funds,1.79,0.055617352614023,92.4,5.8,6,26,2002,1
-18.6,204.2,2.7,309.375,21.025,15.0,315.38,0.1,309.375,21.025,39.3487,25739600.0,Financial,Investment Companies,Investment Companies,5.3,0.649616268650889,87.1,4.5,4,19,2007,0
,,-5.0,145.956,25.0421,17.0,425.72,,145.956,25.0421,,,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,4.84,0.4962779156327429,79.1,4.6,5,17,2006,1
,,-22.9,135.7,16.956,10.0,169.56,-0.6,135.7,16.956,58.6419,61952000.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.08,0.5058243501670088,72.5,10.2,7,8,2020,1
11.0,-0.3,-0.2,116.42,26.3904,14.0,355.946,0.1,116.42,26.3904,0.578058,155248.0,"Consumer, Non-cyclical",Commercial Services,Human Resources,0.06,-0.4705892373473239,98.1,5.7,1,16,2015,0
1.6,-7.8,-0.4,854.0,105.0,17.5,1837.5,-107.2,854.0,105.0,0.000775862,45.0,Financial,Insurance,Life/Health Insurance,4.14,0.16882386043895,92.6,4.5,6,20,2001,0
13.4,-1383.6,-57.7,15.003,0.0,9.0,0.0,-0.2,15.003,0.0,9.45004,7442240.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.08,-0.141627628281935,91.9,5.1,8,27,2015,0
21.4,1.5,0.8,125.475,26.298,15.0,394.47,-1.0,125.475,26.298,130.326,90509800.0,"Consumer, Non-cyclical",Healthcare-Products,Patient Monitoring Equip,5.26,0.61107186747047,88.3,4.4,5,15,2007,1
87.0,-8.3,-1.8,19.32,10.1432,7.0,71.0024,-0.7,19.32,10.1432,9.25217,1198120.0,Industrial,Machinery-Constr&Mining,Machinery-Electric Util,0.41,0.0327321392317517,98.2,4.7,12,7,2016,1
,,3.6,138.687,31.3134,12.5,391.42,,138.687,31.3134,,,"Consumer, Non-cyclical",Food,Food-Meat Products,3.02,0.0514403292181003,96.0,5.0,6,14,2005,0
284.5,13.8,6.7,20.6827,60.4412,2.1,126.927,0.025395,20.6827,60.4412,31.939,37512300.0,Industrial,Miscellaneous Manufactur,Firearms&Ammunition,0.09,0.0941478467042596,80.7,6.7,12,1,2020,1
,,,75.0,26.4284,15.0,396.43,,75.0,26.4284,,,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,6.6,0.1727115716753108,105.8,3.9,10,11,2000,1
16.1,3.2,5.5,1863.0,348.425,27.0,9407.48,0.7,1863.0,348.425,6.28782,22095100.0,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,1.59,0.2740618131495429,101.0,3.5,2,6,2020,1
,-0.8,-0.3,48.3,0.0,0.0,0.0,-3.6,48.3,0.0,0.0304246,1100.0,Financial,Insurance,Property/Casualty Ins,2.41,0.5295001612890738,97.2,3.7,4,1,2019,0
3.4,5.1,3.6,285.0,40.3069,19.0,765.83,2.5,285.0,40.3069,,,Industrial,Miscellaneous Manufactur,Filtration/Separat Prod,5.23,0.1937975176605649,85.3,4.6,6,28,2007,0
53.2,-179.0,-41.1,12.65,6.75,5.5,37.12,-0.5,12.65,6.75,,,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,2.83,0.672529746508014,87.7,5.2,4,12,2005,1
2.5,16.7,3.2,50.7,13.47,13.0,175.11,1.8,50.7,13.47,130.418,50833000.0,Financial,Diversified Finan Serv,Finance-Consumer Loans,1.74,0.0,84.2,5.9,11,8,2002,1
3.8,6.1,5.3,351.418,59.8088,18.0,1076.56,6.7,351.418,59.8088,13.2185,8564970.0,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.07,-0.5399417941061189,88.8,5.8,11,13,2014,1
,,3.5,131.1,21.8491,19.0,415.13,,131.1,21.8491,,,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,1.83,0.0523834468308086,92.8,5.4,11,18,2004,1
,,-86.9,218.5,38.2497,19.0,726.744,-2.9,218.5,38.2497,99.1252,46706400.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,0.0414937759336148,81.8,6.9,10,16,2020,1
,,-43.5,80.0,39.9665,10.0,399.665,,80.0,39.9665,0.0119532,1280.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,6.17,0.058411214953279,109.2,3.8,4,26,2000,1
22.2,13.7,1.7,368.46,75.0,15.0,1125.0,16.6,368.46,75.0,102.162,37695900.0,Financial,Insurance,Life/Health Insurance,0.17,0.1736884910697429,72.2,9.9,4,1,2010,1
0.1,3.3,4.0,41.4,5.625,8.0,45.0,1.5,41.4,5.625,,,Industrial,Engineering&Construction,Building-Heavy Construct,5.34,-0.542138984721521,93.6,4.4,10,4,2006,1
12.3,6.8,2.5,79.12,23.833,16.0,381.33,2.0,79.12,23.833,98.475,26703400.0,Industrial,Metal Fabricate/Hardware,Metal Processors&Fabrica,0.11,0.440297355127631,75.3,8.3,2,24,2012,1
,,-39.5,181.902,43.7034,19.0,830.365,-1.8,181.902,43.7034,72.1295,34521100.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,0.13927469432666,80.4,7.8,9,25,2020,1
-49.1,-152.9,-23.8,122.188,23.6656,17.0,402.315,-1.6,122.188,23.6656,29.404,9772780.0,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,1.91,0.116202517589025,100.1,3.7,9,14,2018,1
-0.4,-32.3,-18.4,86.3368,25.7879,11.0,283.67,-0.4,86.3368,25.7879,109.197,49490300.0,Technology,Software,Enterprise Software/Serv,5.23,0.1937975176605649,85.3,4.6,6,28,2007,1
21.7,-1.0,2.6,162.0,43.034,18.0,774.61,0.8,162.0,43.034,,,Technology,Software,Applications Software,4.59,0.5939617873415811,76.1,4.7,11,1,2007,0
-7.0,2.7,1.6,126.5,42.9991,14.0,601.987,3.4,126.5,42.9991,0.0701594,30721.8,Financial,Insurance,Property/Casualty Ins,2.39,0.1670941622453379,98.4,3.7,7,25,2019,1
-21.2,-41.6,-50.5,90.0,51.74,12.0,620.88,-1.1,90.0,51.74,0.00122846,415.0,Communications,Telecommunications,Wireless Equipment,6.51,0.0,107.3,4.1,8,1,2000,1
,,,828.0,82.8,10.0,828.0,,828.0,82.8,0.23953,198331.0,Communications,Internet,E-Commerce/Services,0.08,0.5058243501670088,72.5,10.2,7,31,2020,1
45.2,-96.4,-36.2,67.2,17.3,15.0,259.5,-0.3,67.2,17.3,9.68354,2209810.0,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,6.86,0.23201856148492,108.3,4.0,7,18,2000,1
,,3.8,20.95,8.523,10.0,85.23,,20.95,8.523,,,Industrial,Miscellaneous Manufactur,Miscellaneous Manufactur,0.94,0.4883342376559899,103.8,5.7,1,23,2004,0
-37.5,-192.1,-41.7,57.5,29.6546,10.0,296.55,-2.0,57.5,29.6546,6.33441,1386020.0,Technology,Semiconductors,Electronic Compo-Semicon,4.14,0.16882386043895,92.6,4.5,6,28,2001,1
-16.1,-11.9,-19.3,85.5,16.9787,19.0,322.6,-0.3,85.5,16.9787,,,Communications,Internet,E-Commerce/Products,0.11,0.7594558623930859,76.2,8.2,3,29,2012,1
155.8,90.5,11.7,106.25,12.1657,17.0,206.817,,106.25,12.1657,0.68374,83182.0,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,1.7,0.4158916925435,98.0,3.8,5,2,2018,0
27.3,0.2,0.8,50.0,5.4025,10.0,54.025,,50.0,5.4025,,,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,0.4,0.2403995864628979,91.2,5.0,9,14,2016,0
177.3,-45.3,-52.2,44.8988,22.3205,6.5,145.08,-1.0,44.8988,22.3205,47.3335,26293500.0,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,4.84,0.4962779156327429,79.1,4.6,5,10,2006,0
31.2,-1.7,-1.4,115.0,29.8329,10.0,298.33,-0.1,115.0,29.8329,95.2614,51974200.0,Communications,Internet,E-Commerce/Products,5.29,0.535036755987662,91.3,4.5,2,9,2007,1
17.3,-0.3,-9.0,427.657,119.252,17.0,1971.51,0.4,427.657,119.252,63.1947,71609900.0,"Consumer, Cyclical",Retail,Retail-Misc/Diversified,0.12,0.2032873254587689,95.9,5.4,4,16,2015,1
24.3,10.8,0.0407368,3478.75,566.3,27.5,15573.2,25.3,3478.75,566.3,62.7219,230817000.0,Financial,Insurance,Life/Health Insurance,2.06,-0.3945885005637069,88.8,5.7,12,13,2001,1
,-8203.0,-60.3,63.8784,37.757,4.0,151.028,-1.5,63.8784,37.757,52.1017,45427800.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.91,0.006746326228517,97.9,3.8,7,24,2018,1
,,9.8,69.7515,11.3608,15.0,170.41,,69.7515,11.3608,,,Communications,Internet,E-Commerce/Products,1.03,-0.108401084010841,92.6,5.7,12,17,2003,0
,,-45.6,125.001,33.9971,17.0,577.951,-1.9,125.001,33.9971,7.18129,2459450.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,2.4,0.0199147181481603,98.2,3.6,6,20,2019,0
-39.4,-25.6,-41.7,68.0,15.3323,17.0,260.649,-14.8,68.0,15.3323,,,Communications,Telecommunications,Wireless Equipment,5.79,0.592417061611377,111.3,4.1,2,1,2000,1
23.6,-32.6,-11.7,357.075,62.9208,15.0,943.812,0.0813074,357.075,62.9208,10.4069,12802800.0,Technology,Software,Enterprise Software/Serv,1.7,0.4158916925435,98.0,3.8,5,17,2018,1
,,-84.4,230.0,23.535,10.0,235.35,-1.4,230.0,23.535,,,Technology,Software,Applications Software,0.08,0.5058243501670088,72.5,10.2,7,22,2020,1
9.4,1.1,1.5,262.721,90.7108,14.0,1269.95,1.2,262.721,90.7108,4.84807,4052200.0,Technology,Computers,Computer Services,0.66,0.0812797871947232,96.9,4.4,3,10,2017,1
12.4,81.9,8.3,113.25,7.0001,15.0,105.0,-2.0,113.25,7.0001,7.56889,30095600.0,Financial,Investment Companies,Investment Companies,1.4,-0.158144438587237,96.7,5.5,7,27,2004,0
,,,292.5,0.0,25.0,0.0,,292.5,0.0,11.7606,1410020.0,Financial,Closed-end Funds,Closed-end Funds,0.2,0.0420646423819506,71.6,9.8,11,24,2010,1
-3.6,-162.9,-403.2,20.15,9.15556,6.5,59.51,-52.1,20.15,9.15556,0.0162562,1527.0,Technology,Computers,Optical Recognition Equi,5.29,0.535036755987662,91.3,4.5,2,9,2007,0
-0.7,-2.0,-16.3,88.55,0.0,14.0,0.0,-0.4,88.55,0.0,,,Technology,Semiconductors,Electronic Compo-Semicon,0.14,0.5565158181437089,74.3,8.1,8,8,2012,1
-6.5,1.7,2.4,575.0,99.4351,27.0,2684.75,2.0,575.0,99.4351,103.214,106829000.0,Technology,Computers,Computer Services,2.45,0.2128758589384109,100.0,3.6,5,8,2019,1
8.7,-76.2,-28.2,154.865,30.9394,17.0,525.97,-1.6,154.865,30.9394,78.8892,36266400.0,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,2.4,0.0199147181481603,98.2,3.6,6,20,2019,1
27.7,22.9,0.6,51.9483,17.3409,7.0,121.39,1.2,51.9483,17.3409,,,"Consumer, Non-cyclical",Commercial Services,Human Resources,1.86,0.5265929436545569,91.7,5.5,10,1,2004,0
29.4,-6.5,-0.4,488.75,28.75,17.0,425.0,1.4,488.75,28.75,93.946,280822000.0,Technology,Computers,Computers-Memory Devices,0.13,-0.0449683750446447,90.0,5.0,10,7,2015,0
,,11.8,4000.0,200.0,20.0,4000.0,-0.0135156,4000.0,200.0,,,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.08,0.5058243501670088,72.5,10.2,7,22,2020,1
63.3,5.1,0.7,76.5,5.2856,17.0,89.8552,1.2,76.5,5.2856,77.7879,14791000.0,Financial,REITS,REITS-Diversified,2.45,0.2128758589384109,100.0,3.6,5,15,2019,0
,-400.0,-56.3,224.0,61.8159,16.0,989.054,-1.6,224.0,61.8159,62.6657,53860800.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.08,0.5058243501670088,72.5,10.2,7,10,2020,0
,,,256.875,0.0,25.0,0.0,,256.875,0.0,,,Financial,Private Equity,Private Equity,1.11,0.1088731627653788,90.9,6.2,7,30,2003,0
10.4,64.1,10.2,434.442,37.6809,23.0,866.66,5.0,434.442,37.6809,2.11696,4833860.0,Energy,Pipelines,Pipelines,0.1,0.039399753323301,85.1,7.3,7,23,2013,1
,,,1250.0,0.0,25.0,0.0,,1250.0,0.0,20.4248,11289500.0,Financial,Closed-end Funds,Closed-end Funds,0.09,0.0414937759336148,81.8,6.9,10,28,2020,0
162.8,-55.4,-16.3,172.5,17.25,10.0,172.5,-0.3,172.5,17.25,5.8168,1003400.0,Technology,Software,Applications Software,1.57,-0.0536243034669465,96.8,3.6,11,22,2019,1
41.4,-97.2,-29.6,144.417,23.8038,15.0,357.057,-3.5,144.417,23.8038,118.461,85152000.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,0.2399708085599498,84.1,7.5,6,20,2013,1
7.1,-11.4,-28.8,24.475,9.23427,11.0,101.58,-0.0147766,24.475,9.23427,,,"Consumer, Cyclical",Entertainment,Casino Services,3.93,0.201207243460752,74.2,5.0,10,14,2005,0
-4.4,-458.9,-39.7,90.0,14.6586,12.0,175.903,-2.3,90.0,14.6586,102.333,50346300.0,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.4,0.0918430107884497,89.8,4.9,8,11,2016,0
,,-0.7,230.0,23.0,10.0,230.0,-0.0319795,230.0,23.0,10.1339,2330790.0,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.0941478467042596,80.7,6.7,12,4,2020,1
,,,115.0,11.5,10.0,115.0,,115.0,11.5,,,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.08,0.5058243501670088,72.5,10.2,7,13,2020,1
190.6,-249.2,-61.5,140.45,35.1463,14.5,509.62,-3.3,140.45,35.1463,40.4451,31742800.0,"Consumer, Non-cyclical",Pharmaceuticals,Therapeutics,0.14,0.178040777358723,84.5,7.5,5,22,2013,1
87.2,32.5,0.4,216.93,17.9463,15.0,269.19,7.2,216.93,17.9463,37.2096,3575440.0,Financial,Investment Companies,Investment Companies,5.27,0.148883374689833,91.7,4.4,12,12,2006,1
-10.9,-78.9,-71.1,1334.0,43.4483,29.0,1260.0,-6.2,1334.0,43.4483,80.9064,253656000.0,"Consumer, Cyclical",Leisure Time,Athletic Equipment,2.13,0.0783448576930001,93.2,3.5,9,26,2019,0
15.9,0.4,4.4,598.496,175.434,14.0,2456.08,1.4,598.496,175.434,22.444,39906200.0,Industrial,Packaging&Containers,Containers-Paper/Plastic,0.09,0.13927469432666,80.4,7.8,9,17,2020,0
132.8,-0.2,0.5,237.89,20.6445,20.0,400.0,2.8,237.89,20.6445,0.00261655,542.0,Energy,Pipelines,Pipelines,0.12,0.3502869998528119,96.1,5.3,6,4,2015,0
,,,877.5,0.0,15.0,0.0,,877.5,0.0,8.74336,11042800.0,Financial,Closed-end Funds,Closed-end Funds,1.23,-0.2206287920573639,86.7,6.0,12,24,2002,0
11.6,23.7,1.1,22.5,0.0,7.5,0.0,0.6,22.5,0.0,,,Financial,Banks,Commer Banks-Western US,6.51,0.0,107.3,4.1,8,1,2000,1
52.5,24.9,11.4,135.7,6.1941,20.0,118.0,1.7,135.7,6.1941,60.3996,26075500.0,Technology,Software,Applications Software,0.09,0.0941478467042596,80.7,6.7,12,9,2020,1
-59.0,-390.2,-37.9,20.3312,4.8043,7.25,34.83,-7.2,20.3312,4.8043,81.5833,2968960.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.06,0.6440044126228239,80.0,6.7,3,21,2014,0
10.8,-6.2,-2.7,402.5,83.0399,14.0,1162.56,1.5,402.5,83.0399,83.7548,95852600.0,Energy,Oil&Gas Services,Oil-Field Services,0.66,0.0812797871947232,96.9,4.4,3,17,2017,1
-24.5,74.3,13.2,290.4,33.0,22.0,726.0,,290.4,33.0,6.20245,2046810.0,Financial,Banks,Fiduciary Banks,0.08,-0.0843561330442059,63.7,8.6,11,3,2011,0
10.8,1.1,0.4,156.975,7.64988,21.0,160.65,2.0,156.975,7.64988,,,Energy,Pipelines,Pipelines,3.02,-0.3365114974761799,82.7,5.3,10,25,2001,1
10.6,-18.8,-8.9,230.0,23.0,10.0,230.0,0.2,230.0,23.0,40.2685,23275200.0,Technology,Software,Enterprise Software/Serv,2.4,0.1906596665246839,91.2,4.0,1,31,2019,1
29.0,-21.5,-7.3,638.25,80.3721,15.0,3838.3,-0.0242144,638.25,80.3721,0.025967,27419.3,Technology,Software,Computer Software,1.67,0.3975091563348929,98.8,4.0,4,20,2018,1
,,-0.8,56.6372,7.1321,8.0,57.06,0.1,56.6372,7.1321,,,Diversified,Holding Companies-Divers,Specified Purpose Acquis,4.52,0.55359838953198,88.9,4.7,3,31,2006,1
34.8,-35.9,-21.1,57.5,35.5036,10.0,355.04,-0.1,57.5,35.5036,26.3991,14481500.0,Technology,Semiconductors,Electronic Compo-Semicon,6.17,0.1167542323409229,110.7,4.0,5,19,2000,1
,,,75.0,0.0,15.0,0.0,,75.0,0.0,11.5424,662948.0,Financial,Closed-end Funds,Closed-end Funds,1.85,0.165745856353599,80.6,5.7,10,29,2002,0
,,,292.5,0.0,15.0,0.0,,292.5,0.0,14.9904,3365670.0,Financial,Closed-end Funds,Closed-end Funds,1.85,0.165745856353599,80.6,5.7,10,29,2002,0
43.8,9.3,5.0,109.8,6.11177,18.0,110.01,4.4,109.8,6.11177,69.8161,11684700.0,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,4.92,0.2139191328121169,80.9,4.7,10,25,2007,1
,,-109.4,18.5,11.249,5.0,56.245,-1.3,18.5,11.249,,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.3,0.404579099811517,94.7,4.8,5,18,2016,1
-39.7,-15.5,-0.0698742,17.5,12.526,7.0,87.68,-0.0602597,17.5,12.526,0.779221,15000.0,Technology,Computers,Computers-Peripher Equip,6.65,0.5247813411078819,106.4,4.0,6,23,2000,1
-16.2,-3.6,0.1,80.5,20.371,14.0,285.19,0.1,80.5,20.371,3.3601,582407.0,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,1.4,-0.158144438587237,96.7,5.5,7,16,2004,1
217.3,-4.4,,59.52,25.9125,16.0,414.6,,59.52,25.9125,,,Communications,Telecommunications,Telecommunication Equip,3.99,0.2970885323826589,112.0,4.0,1,31,2000,1
,,,349.5,34.95,10.0,349.5,,349.5,34.95,6.59392,2502390.0,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.13927469432666,80.4,7.8,9,30,2020,1
,,-100.9,163.8,12.3015,18.0,221.43,,163.8,12.3015,,,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,4.59,0.5939617873415811,76.1,4.7,11,9,2007,0
,40.5,9.8,483.0,29.705,21.0,623.8,1.8,483.0,29.705,,,Energy,Pipelines,Pipelines,0.08,0.12029315570472,82.1,7.2,8,9,2013,1
-19.8,-15.5,-30.4,96.321,33.4128,10.0,334.128,1.0,96.321,33.4128,9.74852,3290710.0,Energy,Oil&Gas,Oil&Gas Drilling,1.42,0.45346899748655,99.7,4.1,2,9,2018,0
,-316.5,,20.0,7.7881,5.0,38.9405,-0.5,20.0,7.7881,14.49,6101750.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.12,0.3502869998528119,96.1,5.3,6,24,2015,0
10.0,-5.9,-4.3,128.8,76.6376,10.0,766.376,0.6,128.8,76.6376,0.0462683,43915.0,Technology,Software,Enterprise Software/Serv,0.17,0.0211043057371508,67.8,9.4,7,16,2010,1
6.6,2.0,2.5,133.875,17.9873,17.0,305.78,1.2,133.875,17.9873,,,Industrial,Transportation,Transport-Truck,1.03,-0.2702702702702639,93.7,5.8,11,7,2003,1
13.2,17.2,13.5,104.536,31.1873,12.0,374.25,5.1,104.536,31.1873,101.062,38391300.0,Technology,Computers,Computer Data Security,0.13,0.446221226761131,78.3,7.8,9,28,2012,1
,,-107.3,16.445,3.4653,13.0,45.05,,16.445,3.4653,,,Communications,Telecommunications,Cellular Telecom,1.28,0.108991825613079,89.7,6.3,6,25,2003,1
,,-59.9,86.2546,26.6751,17.0,453.477,-2.1,86.2546,26.6751,29.5424,10673800.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,2.45,0.2128758589384109,100.0,3.6,5,9,2019,1
0.6,-0.9,-3.0,150.0,44.9126,15.0,673.69,0.5,150.0,44.9126,93.9015,50369100.0,Communications,Internet,E-Marketing/Info,0.14,0.024920738207648,73.6,9.8,2,11,2010,0
22.4,13.3,3.4,345.0,30.7977,20.0,615.95,3.4,345.0,30.7977,,,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,0.2,0.1718440789203088,74.5,9.3,12,17,2010,0
,,,250.05,25.7201,15.0,385.8,,250.05,25.7201,,,Financial,REITS,REITS-Whole Loans,5.29,0.535036755987662,91.3,4.5,2,15,2007,1
87.5,9.3,13.1,96.6,11.3025,10.0,113.03,1.4,96.6,11.3025,,,Industrial,Transportation,Transport-Marine,0.08,-0.2575283259804639,73.2,7.2,10,29,2013,1
25.0,1.4,2.1,108.408,32.8566,16.0,525.706,0.6,108.408,32.8566,3.12211,1205480.0,Communications,Telecommunications,Telecommunication Equip,0.29,0.1246748513014319,87.2,4.9,10,28,2016,0
27.9,-52.1,-15.4,73.7475,21.8209,15.0,327.313,-1.3,73.7475,21.8209,95.2267,35286000.0,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Equipment,1.16,-0.05878322772623,95.9,4.1,12,7,2017,1
12.1,2.9,0.2,295.837,28.8112,21.0,605.04,6.2,295.837,28.8112,20.7015,15934500.0,Financial,REITS,REITS-Warehouse/Industr,0.08,-0.2575283259804639,73.2,7.2,10,9,2013,0
23.8,-22.6,-7.5,116.025,33.114,13.0,430.48,0.5,116.025,33.114,118.534,68177100.0,Communications,Internet,Web Hosting/Design,0.06,0.6440044126228239,80.0,6.7,3,20,2014,1
16.9,-8.7,-15.0,193.2,74.2448,16.0,1187.92,0.2,193.2,74.2448,87.7851,84887800.0,Communications,Advertising,Direct Marketing,0.06,0.6440044126228239,80.0,6.7,3,7,2014,1
1.2,-15.5,6.0,90.0,15.3682,18.0,276.628,0.0819227,90.0,15.3682,,,Technology,Software,Medical Information Sys,5.79,0.592417061611377,111.3,4.1,2,9,2000,1
,-301.6,-0.0898665,287.5,28.75,10.0,287.5,-0.9,287.5,28.75,6.22923,1790900.0,Industrial,Electronics,Instruments-Controls,0.09,0.0941478467042596,80.7,6.7,12,8,2020,1
87.2,-20.4,-4.9,185.725,12.5327,19.0,238.12,-2.6,185.725,12.5327,33.9214,5842390.0,Industrial,Miscellaneous Manufactur,Miscellaneous Manufactur,2.83,0.672529746508014,87.7,5.2,4,6,2005,1
,,0.5,107.64,0.0,6.0,0.0,0.1,107.64,0.0,,,Diversified,Holding Companies-Divers,Specified Purpose Acquis,5.17,0.3052527254707629,96.9,4.6,1,29,2007,1
17.7,-38.5,-28.5,96.6,23.6443,14.0,331.02,-0.9,96.6,23.6443,,,Technology,Software,Enterprise Software/Serv,0.16,-0.103963947708716,76.4,7.6,4,12,2013,1
